"merge","cubes","ash","fomo","lp","other","q2","q3","q4","q4open","q5","q6","q7","q8","q9","q10","q11","q12","q13","q14","q9open"
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"5-10 ETH","2","Classes will compete against other classes",NA,"I believe it will allow you to decrease mass somehow in exchange for an NFT that can be burned for ASH","During Q2 2022 (Apr-Jun)","Neither agree nor disagree","28000","Artist commitment to ASH ecosystem",45,"Between 50 and 75 percent","6 to 10 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,NA,NA,"<5 ETH","1","I do not have a theory on classes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merge (Mass)",NA,"ASH","FOMO","Lost Poets (Poets/Pages)",NA,"10-50 ETH","2","I do not have a theory on classes",NA,NA,"During Q3 2022 (Jul-Sep)","Agree",NA,"Expected appreciation on secondary market",49,"Less than 25 percent","5 hours or less","9","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"<5 ETH","1","Tokens will compete both within and across classes",NA,"Each class will be allocated a certain number of ash per week and it will be favorable to be a part of one class vs another.","During or After Q4 2022 (Oct-Dec)","Disagree","8000","Innovative application of Web 3.0 technology",114,"Between 25 and 50 percent","6 to 10 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"50-100 ETH","1","I do not have a theory on classes",NA,NA,"The floor price for mute Poets will never exceed the high tier ASH rate.","Strongly agree","15000","Straightforward aesthetic appeal",20,"More than 75 percent","More than 20 hours","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)",NA,"10-50 ETH","1","Classes will compete against other classes",NA,"Relational to mass size","During Q2 2022 (Apr-Jun)","Agree","21000","Artist history of community membership",40,"Between 25 and 50 percent","6 to 10 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,NA,NA,"<5 ETH","1","I do not have a theory on classes",NA,NA,"The floor price for mute Poets will never exceed the high tier ASH rate.","Neither agree nor disagree",NA,"Expected appreciation on secondary market",51,"Between 25 and 50 percent","5 hours or less","8","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"5-10 ETH","1","I do not have a theory on classes",NA,"Will be a marketplace for NFTs claimable by specific conditions of mass","During Q3 2022 (Jul-Sep)","Strongly agree","30000","Innovative application of Web 3.0 technology",31,"Between 25 and 50 percent","6 to 10 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,NA,NA,"<5 ETH","2","I do not have a theory on classes",NA,"Burn mechanism for ash","During or After Q4 2022 (Oct-Dec)","Strongly agree",NA,"Innovative application of Web 3.0 technology",51,"Less than 25 percent","5 hours or less","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"<5 ETH","1","Tokens will compete both within and across classes",NA,"It will be a twist. Probably not as financially rewarding as Cubes, but equally interesting.","The floor price for mute Poets will never exceed the high tier ASH rate.","Agree","19000","Straightforward aesthetic appeal",19,"Between 25 and 50 percent","5 hours or less","8","Not Sure",NA
"Merge (Mass)","The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)",NA,"Not Sure","1","I do not have a theory on classes",NA,"No idea","The floor price for mute Poets will never exceed the high tier ASH rate.","Neither agree nor disagree","20000","Other (please specify)",114,"More than 75 percent","5 hours or less","10","Net positive"," Not sure"
"Merge (Mass)",NA,"ASH",NA,NA,NA,"10-50 ETH","1","Tokens will compete both within and across classes",NA,"Something different than we've seen... like the burned merge ends up getting re-absorbed elsewhere (maybe in the Alpha, maybe random)","During Q2 2022 (Apr-Jun)","Strongly agree","20000","Artist history of community membership",39,"Between 25 and 50 percent","More than 20 hours","10","Net positive",NA
"Merge (Mass)",NA,NA,NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","2","I do not have a theory on classes",NA,"Not sure","During or After Q4 2022 (Oct-Dec)","Agree","15000","Artist commitment to ASH ecosystem",123,"Between 50 and 75 percent","6 to 10 hours","10","Net negative",NA
"Merge (Mass)",NA,"ASH",NA,NA,NA,"5-10 ETH","2","I do not have a theory on classes",NA,NA,NA,NA,NA,"Innovative application of Web 3.0 technology",2,"Less than 25 percent","6 to 10 hours","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)",NA,"50-100 ETH","2","Other (please explain your class theory)","Class + mass will be tiered for eligibility toward mass website claiming function","More mass = more ash  Stake mass to earn ash  More mass = more yield    ","During Q3 2022 (Jul-Sep)","Agree","30000","Innovative application of Web 3.0 technology",88,"Between 50 and 75 percent","6 to 10 hours","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)",NA,"10-50 ETH","2","Tokens will compete both within and across classes",NA,"Trade mass for tickets where tickets are used to move our pieces to select locations needed to claim treasure as Pak reveals where.","During or After Q4 2022 (Oct-Dec)","Agree","30000","Expected appreciation on secondary market",93,"Between 50 and 75 percent","More than 20 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"<5 ETH","1","Classes will compete against other classes",NA,NA,"During Q2 2022 (Apr-Jun)","Strongly agree",NA,"Innovative application of Web 3.0 technology",47,"Between 50 and 75 percent","11 to 20 hours","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,NA,NA,"10-50 ETH","1","I do not have a theory on classes",NA,"A master piece","During or After Q4 2022 (Oct-Dec)","Strongly agree","15000","Innovative application of Web 3.0 technology",31,"More than 75 percent","5 hours or less","10","Not Sure",NA
"Merge (Mass)",NA,"ASH","FOMO","Lost Poets (Poets/Pages)",NA,"10-50 ETH","2","Tokens will compete both within and across classes",NA,"Thinking the burn structure will be tailored to the number of merge held different from the fungible. ","The floor price for mute Poets will never exceed the high tier ASH rate.","Disagree","9750","Artist commitment to ASH ecosystem",40,"More than 75 percent","11 to 20 hours","8","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)",NA,">100 ETH","4","I do not have a theory on classes",NA,"No idea ","During Q2 2022 (Apr-Jun)","Strongly agree","20000","Innovative application of Web 3.0 technology",79,"More than 75 percent","More than 20 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,NA,NA,"<5 ETH","1","Classes will compete against other classes",NA,"not sure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"5-10 ETH","2","Tokens will compete both within and across classes",NA,NA,"During Q3 2022 (Jul-Sep)","Neither agree nor disagree","13222","Artist commitment to ASH ecosystem",34,"Between 50 and 75 percent","5 hours or less","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","2","Tokens in a class will compete against each other",NA,"Vested over a timeframe","During Q3 2022 (Jul-Sep)","Neither agree nor disagree","20000","Innovative application of Web 3.0 technology",99,"Between 25 and 50 percent","6 to 10 hours","6","Net positive",NA
NA,NA,"ASH","FOMO","Lost Poets (Poets/Pages)",NA,"10-50 ETH","2","I do not have a theory on classes",NA,NA,"The floor price for mute Poets will never exceed the high tier ASH rate.","Strongly disagree","34000","Innovative application of Web 3.0 technology",1,"Between 25 and 50 percent","6 to 10 hours","2","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,">100 ETH","1","Classes will compete against other classes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merge (Mass)",NA,"ASH","FOMO","Lost Poets (Poets/Pages)",NA,"5-10 ETH","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"<5 ETH","1","I do not have a theory on classes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"<5 ETH","1","I do not have a theory on classes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,"50-100 ETH","4","I do not have a theory on classes",NA,"Hopefully not a raffle like origin poets ","During or After Q4 2022 (Oct-Dec)","Agree","8000","Artist commitment to ASH ecosystem",51,"Between 25 and 50 percent","6 to 10 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH","FOMO","Lost Poets (Poets/Pages)",NA,"5-10 ETH","1","Tokens will compete both within and across classes",NA,"Burn x amount of mass for y NFT  Do not need to burn the entire mass, just portions of it.","During Q2 2022 (Apr-Jun)","Agree","15000","Innovative application of Web 3.0 technology",58,"More than 75 percent","More than 20 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"50-100 ETH","3","I do not have a theory on classes",NA," Certain mass groups will get access to other new NFTs at different times and those may be burnable for ASH. ","The floor price for mute Poets will never exceed the high tier ASH rate.","Strongly agree","10000","Artist history of community membership",70,"Between 50 and 75 percent","11 to 20 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,NA,NA,"<5 ETH",NA,"I do not have a theory on classes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merge (Mass)",NA,"ASH",NA,NA,NA,"10-50 ETH","2","I do not have a theory on classes",NA,"Clueless lol","During Q2 2022 (Apr-Jun)","Neither agree nor disagree","19000","Artist history of community membership",86,"Between 25 and 50 percent","More than 20 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"5-10 ETH","1","I do not have a theory on classes",NA,"I wish I knew. Incentives to merge more to get NFTs that are then immediately redeemable on mass.black for ASH... based on different tiers","During or After Q4 2022 (Oct-Dec)","Strongly agree","14000","Innovative application of Web 3.0 technology",22,"Between 25 and 50 percent","5 hours or less","10","Net positive",NA
"Merge (Mass)",NA,"ASH","FOMO","Lost Poets (Poets/Pages)",NA,"10-50 ETH","2","I do not have a theory on classes",NA,"High tier, low tier. Timed.","During Q3 2022 (Jul-Sep)","Agree","12000","Expected appreciation on secondary market",43,"Between 50 and 75 percent","6 to 10 hours","10","Net negative",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)","Pak x Trevor Jones",">100 ETH","2","Tokens will compete both within and across classes",NA,"?","During Q2 2022 (Apr-Jun)","Strongly agree","30000","Other (please specify)",31,"Less than 25 percent","5 hours or less","9","Not Sure","Raf Grassetti "
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,"50-100 ETH","1","Other (please explain your class theory)","They are random and will be used to allow groups to claim NFT’s, one at a time, to prevent gas wars ","It will be somewhat proportional to what the public mint price was per mass. Benefiting the pre-sale crowd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merge (Mass)","The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)","The title",">100 ETH","3","I do not have a theory on classes",NA,"I think there will be gated OEs that require one to hold x size of mass to mint","During Q3 2022 (Jul-Sep)","Agree","30000","Innovative application of Web 3.0 technology",58,"Between 25 and 50 percent","5 hours or less","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,NA,NA,"<5 ETH","2","I do not have a theory on classes",NA,"More mass = more ASH, but probably more to it, depending on certain traits","During or After Q4 2022 (Oct-Dec)","Agree","20000","Innovative application of Web 3.0 technology",51,"Between 25 and 50 percent","5 hours or less","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","2","Classes will compete against other classes",NA,"Limited editions with 1/1s reserved for Alpha. Not sure about Ash mechanism, maybe Mass can be burnt for some classes of NFTs a bit like burning cubes for Ash but here for NFTs maybe and ash. You can also pay with mass. ","The floor price for mute Poets will never exceed the high tier ASH rate.","Neither agree nor disagree","38000","Artist history of community membership",16,"Between 25 and 50 percent","6 to 10 hours","10","Does not matter",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,">100 ETH","1","I do not have a theory on classes",NA,"Tiers of access ","The floor price for mute Poets will never exceed the high tier ASH rate.","Disagree","30000","Artist commitment to ASH ecosystem",19,"Between 25 and 50 percent","5 hours or less","6","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","2","Other (please explain your class theory)","No role ","No redemption mechanism","The floor price for mute Poets will never exceed the high tier ASH rate.","Strongly disagree","10000","Straightforward aesthetic appeal",29,"More than 75 percent","6 to 10 hours","1","Does not matter",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"<5 ETH","1","I do not have a theory on classes",NA,"Low tier","During Q3 2022 (Jul-Sep)","Strongly agree","10000","Expected appreciation on secondary market",31,"Between 25 and 50 percent","5 hours or less","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","2","I do not have a theory on classes",NA,NA,NA,"Strongly agree",NA,"Expected appreciation on secondary market",99,"Less than 25 percent","5 hours or less","10","Does not matter",NA
"Merge (Mass)",NA,"ASH","FOMO","Lost Poets (Poets/Pages)","🤫","50-100 ETH","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"<5 ETH","2","I do not have a theory on classes",NA,"It won’t be ash it will be a new piece of art based on size and number of merges","The floor price for mute Poets will never exceed the high tier ASH rate.","Disagree","4000","Innovative application of Web 3.0 technology",84,"Between 50 and 75 percent","6 to 10 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"5-10 ETH","1","I do not have a theory on classes",NA,"Burn mass for Ash burnable NFTs. Decreases the mass supply and potentially the NFT supply","During Q3 2022 (Jul-Sep)","Strongly agree","28000","Innovative application of Web 3.0 technology",58,"Between 25 and 50 percent","6 to 10 hours","10","Not Sure",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"5-10 ETH","1","I do not have a theory on classes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merge (Mass)","The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)","The Title, Collision, Stairs of the Lost Kingdom",">100 ETH","2","I do not have a theory on classes",NA,"idk","During Q3 2022 (Jul-Sep)","Neither agree nor disagree","22000","Straightforward aesthetic appeal",19,"More than 75 percent","More than 20 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"<5 ETH","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merge (Mass)","The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)",NA,"10-50 ETH","2","Other (please explain your class theory)","as more merge occur, class rarity may become sought after. imagine you are the only one lift in class 69?","more mass = more limited redemption. your choice to burn or not. pak will make sure you have the dilemma of keeping a rare nft or burn for ash to buy other rare nft. ","During Q3 2022 (Jul-Sep)","Agree","17000","Innovative application of Web 3.0 technology",106,"More than 75 percent","6 to 10 hours","9","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","2","I do not have a theory on classes",NA,"I believe it will drive something similar, but opposite to the Fungible collection. I find it unlikely that Pak will allow a single Mass to be the most valuable long term like the Fungible did with cubes. ","During Q3 2022 (Jul-Sep)","Strongly agree","15000","Innovative application of Web 3.0 technology",54,"Between 25 and 50 percent","6 to 10 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"5-10 ETH","2","Tokens will compete both within and across classes",NA,"greater amount of merges = higher ash burn tier","During or After Q4 2022 (Oct-Dec)","Strongly agree","30000","Artist commitment to ASH ecosystem",7,"Between 50 and 75 percent","5 hours or less","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,NA,NA,"<5 ETH","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"<5 ETH","2","Tokens in a class will compete against each other",NA,"its gonna be cool but who knows ","During Q2 2022 (Apr-Jun)","Strongly agree","20000","Straightforward aesthetic appeal",66,"More than 75 percent","More than 20 hours","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)",NA,"10-50 ETH","2","I do not have a theory on classes",NA,"No clue","During Q2 2022 (Apr-Jun)","Strongly agree","19000","Innovative application of Web 3.0 technology",40,"Less than 25 percent","6 to 10 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,NA,NA,"<5 ETH","2","Other (please explain your class theory)","Certain classes will be able to merge with others to incinerate to ash. Pak reveals the combination, you merge and claim","Certain classes merge have the ability to merge for an ASH bounty","During Q3 2022 (Jul-Sep)","Strongly agree","25000","Innovative application of Web 3.0 technology",68,"More than 75 percent","11 to 20 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)","Trevor collabaration","5-10 ETH","2","Classes will compete against other classes",NA,"👀","During Q2 2022 (Apr-Jun)","Strongly agree","32000","Innovative application of Web 3.0 technology",84,"Between 25 and 50 percent","11 to 20 hours","10","Net positive",NA
"Merge (Mass)",NA,NA,NA,"Lost Poets (Poets/Pages)",NA,"<5 ETH","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","2","I do not have a theory on classes",NA,"a mass that has at least 3 merges will be burnable for a mid tier burn","The floor price for mute Poets will never exceed the high tier ASH rate.","Strongly agree","20000","Artist commitment to ASH ecosystem",55,"Between 50 and 75 percent","More than 20 hours","10","Does not matter",NA
"Merge (Mass)","The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)","Fusion",">100 ETH","1","Tokens will compete both within and across classes",NA,"IMO 100 Mass or greater will be High Tier Burn   50-99- 50%  10-49 25%.. Something like that","During or After Q4 2022 (Oct-Dec)","Strongly agree","35000","Artist commitment to ASH ecosystem",51,"More than 75 percent","More than 20 hours","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)",NA,"50-100 ETH","1","I do not have a theory on classes",NA,"Either staking for yield, or slowly reducing the amount of Mass in a Merge in exchange for ASH    Tiers are potentially a yield multiplier","During Q3 2022 (Jul-Sep)","Strongly agree","35000","Expected appreciation on secondary market",12,"Between 50 and 75 percent","11 to 20 hours","9","Net positive",NA
"Merge (Mass)",NA,NA,NA,NA,NA,"<5 ETH",NA,"Other (please explain your class theory)","% of class give bonus for next drop",NA,"During or After Q4 2022 (Oct-Dec)","Neither agree nor disagree",NA,"Innovative application of Web 3.0 technology",105,"Less than 25 percent","5 hours or less","10","Not Sure",NA
"Merge (Mass)",NA,"ASH",NA,NA,NA,"<5 ETH","2","Other (please explain your class theory)","Collaboration over competition ","Open to the surprise ",NA,"Neither agree nor disagree",NA,"Artist commitment to ASH ecosystem",NA,"More than 75 percent","More than 20 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"<5 ETH","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,">100 ETH","1","I do not have a theory on classes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"5-10 ETH","1","I do not have a theory on classes",NA,"Not sure ","During Q3 2022 (Jul-Sep)","Disagree","15000","Expected appreciation on secondary market",90,"More than 75 percent","6 to 10 hours","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)",NA,"50-100 ETH","5","Classes will compete against other classes",NA,"Mint pass for ash burnable nft","During Q3 2022 (Jul-Sep)","Strongly agree","15000","Innovative application of Web 3.0 technology",58,"Between 50 and 75 percent","11 to 20 hours","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)",NA,"10-50 ETH","4","Tokens will compete both within and across classes",NA,"Why would I want to redeem the Merge for ASH. The Mass I have is going to exist forever. ","The floor price for mute Poets will never exceed the high tier ASH rate.","Neither agree nor disagree","34100","Innovative application of Web 3.0 technology",83,"Between 50 and 75 percent","6 to 10 hours","10","Net positive",NA
"Merge (Mass)",NA,NA,NA,"Lost Poets (Poets/Pages)",NA,"5-10 ETH","1","Tokens will compete both within and across classes",NA,"Amount of Mass held will determine elegibility into future drops (maybe be OVER a certain number, or digits that ADD to a certain number [promoting purchasing])","During Q3 2022 (Jul-Sep)","Strongly agree","12000","Artist commitment to ASH ecosystem",107,"Between 50 and 75 percent","11 to 20 hours","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","1","Tokens will compete both within and across classes",NA,"I do not know ","The floor price for mute Poets will never exceed the high tier ASH rate.","Strongly agree","33000","Expected appreciation on secondary market",65,"Between 25 and 50 percent","6 to 10 hours","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)",NA,">100 ETH","1","Other (please explain your class theory)","Classes won’t mean shit","Depends on how many merges","The floor price for mute Poets will never exceed the high tier ASH rate.","Strongly disagree","13000","Artist commitment to ASH ecosystem",57,"Between 50 and 75 percent","More than 20 hours","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)","The Creation, TJ x Pak, The Title",">100 ETH","5","I do not have a theory on classes",NA,"Yield/dividend paid in ASH","During Q3 2022 (Jul-Sep)","Strongly agree","24000","Straightforward aesthetic appeal",120,"Between 50 and 75 percent","5 hours or less","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)",NA,"10-50 ETH","1","I do not have a theory on classes",NA,"You get one or more burnable NFTs based on the ""hidden"" and ""visible"" traits of the mass you own.","During or After Q4 2022 (Oct-Dec)","Agree","19000","Innovative application of Web 3.0 technology",36,"Between 50 and 75 percent","11 to 20 hours","10","Net positive",NA
"Merge (Mass)","The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)",NA,">100 ETH","5","I do not have a theory on classes",NA,"An arcade. You exchange merge for NFTs at various “ticket prices” and those NFTs have different burn values depending on rarity (cheapest NFT burns for least Ash)","During Q2 2022 (Apr-Jun)","Strongly agree","35000","Expected appreciation on secondary market",71,"More than 75 percent","More than 20 hours","10","Not Sure",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,"5-10 ETH","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"5-10 ETH","3","Classes will compete against other classes",NA,"The more merges and traits the more ash you can burn for ","During or After Q4 2022 (Oct-Dec)","Strongly agree","8000","Straightforward aesthetic appeal",58,"More than 75 percent","6 to 10 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,NA,NA,"<5 ETH",NA,"Tokens will compete both within and across classes",NA,NA,"Before or During Q1 2022 (Jan-Mar)","Agree",NA,"Straightforward aesthetic appeal",NA,"Less than 25 percent","5 hours or less","6","Does not matter",NA
"Merge (Mass)","The Fungible (Cubes)","ASH","FOMO","Lost Poets (Poets/Pages)",NA,"10-50 ETH","3","Tokens will compete both within and across classes",NA,"curve based on size of mass ","The floor price for mute Poets will never exceed the high tier ASH rate.","Strongly agree","35000","Artist commitment to ASH ecosystem",86,"Between 50 and 75 percent","11 to 20 hours","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","3","Tokens will compete both within and across classes",NA,"Mass will be used to claim other pak nfts which can then be burned for varying Ash yields. For example, the more editions of a piece there is the less Ash you'll get","During Q3 2022 (Jul-Sep)","Strongly agree","25000","Artist commitment to ASH ecosystem",31,"More than 75 percent","More than 20 hours","10","Net negative",NA
"Merge (Mass)",NA,"ASH","FOMO","Lost Poets (Poets/Pages)","Pak X Trevor Jones","10-50 ETH","2","Other (please explain your class theory)","Specific classes will recieve class based NFTs off mass.black which will give an incentive for others to merge with specific classes","Select mass holders will be granted the ability to claim NFTs based on either class or # of mass you have. You will be able to burn claimed NFTs for ASH over time.","During or After Q4 2022 (Oct-Dec)","Agree","19000","Artist commitment to ASH ecosystem",103,"Between 50 and 75 percent","6 to 10 hours","7","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","2","I do not have a theory on classes",NA,"Privilege on the number of nfts","During or After Q4 2022 (Oct-Dec)","Agree","3765","Other (please specify)",68,"More than 75 percent","11 to 20 hours","9","Net positive","The first three"
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,"5-10 ETH","1","I do not have a theory on classes",NA,NA,"During Q2 2022 (Apr-Jun)","Strongly agree","15000","Artist commitment to ASH ecosystem",58,"Between 50 and 75 percent","11 to 20 hours","10","Net negative",NA
"Merge (Mass)","The Fungible (Cubes)","ASH",NA,"Lost Poets (Poets/Pages)",NA,"5-10 ETH","1","Classes will compete against other classes",NA,"Not got a clue","The floor price for mute Poets will never exceed the high tier ASH rate.","Agree","35000","Artist commitment to ASH ecosystem",87,"Between 50 and 75 percent","11 to 20 hours","10","Net positive",NA
"Merge (Mass)",NA,NA,NA,"Lost Poets (Poets/Pages)",NA,"<5 ETH","2","I do not have a theory on classes",NA,"50","During Q3 2022 (Jul-Sep)","Agree","5000","Artist commitment to ASH ecosystem",93,"Less than 25 percent","5 hours or less","10","Net positive",NA
"Merge (Mass)",NA,"ASH",NA,"Lost Poets (Poets/Pages)",NA,"10-50 ETH","2","Other (please explain your class theory)","While Mass will work toward ""extinction"" on a macro level, Classes are the micro level extinction that we will face as individual participants. I doubt we will work with our classes, so I can see competitiveness occuring. Prisoners Dilemma will manifest. ","Maybe we will claim a token, turning our mass into something else like Pak alluded too. This token could be a beautiful Pak piece that would be hard to resist. This would add another element of scarcity to Mass as everyone converts. Classes could become a 1/100 for example, if 200 people out of the class convert.","During or After Q4 2022 (Oct-Dec)","Disagree","10000","Other (please specify)",106,NA,NA,NA,NA," An ounce of engagement outside of the #WeAcceptAsh channel. I want to see people using their own name or personal brand, not calling themselves ""Pak Junior"" ""ASH Accepter"" etc. Be yourself, be genuine and create artwork that reflects the creator in their own light. Hope to see less people just slapping a Pak or Ash logo onto some piece of artwork just to tie it to ASH. "
"Merge (Mass)",NA,"ASH","FOMO","Lost Poets (Poets/Pages)",NA,"5-10 ETH","1","Classes will compete against other classes",NA,"Each individual mass would be redeemable for a smaller incremental tier of ASH. ","During or After Q4 2022 (Oct-Dec)","Neither agree nor disagree","10000","Innovative application of Web 3.0 technology",31,"More than 75 percent","5 hours or less","10","Net positive",NA
